id,title,sector,host_state,treaty,arbitration_rules,outcome
6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063","Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),SCC Rules of Arbitration,In favour of Investor
6608,"Masdar Solar & Wind Cooperatief U.A. v. Kingdom of Spain, ICSID Case No. ARB/14/1","Electricity, gas, steam and air conditioning supply",,Energy Charter Treaty,ICSID,In favour of Investor
7098,"Tomasz CzÄ™Å›cik and Robert AleksandrowiczÂ v. Cyprus,Â SCC Case No. V 2014/169",Human health and social work activities,,Cyprus - Poland BIT (1992),SCC,In favour of State
6620,PACC Offshore Services Holdings v United Mexican States,Transportation and storage,,Mexico - Singapore BIT (2009),,
6486,"Mathias Kruck and others v. Kingdom of Spain, ICSID Case No. ARB/15/23","Electricity, gas, steam and air conditioning supply",,Energy Charter Treaty,ICSID,
6611,Daniel Kappes and Kappes Cassiday & Associates v Guatemala,"Mining and quarrying, including hydrocarbons (oil and gas)",,Central America-Dominican Republic Free Trade Agreement  (DR-CAFTA),,
6474,"Salini Impregilo S.p.A. v. Argentine Republic, ICSID Case No. ARB/15/39",Transportation and storage,,Argentina - Italy BIT (1990),ICSID,
6593,"Horthel Systems BV, Poland Gaming Holding BV and Tesa Beheer BV v. Poland, PCA Case No. 2014-31","Arts, entertainment and recreation",,Netherlands - Poland BIT (1992),UNCITRAL,In favour of Investor
6634,"Raiffeisen Bank International AG and Raiffeisenbank Austria d.d. v. Republic of Croatia, ICSID Case No. ARB/17/34",Financial and insurance activities,,Austria - Croatia BIT (1997),ICSID,
6625,"Luxtona Limited v. The Russian Federation, UNCITRAL","Mining and quarrying, including hydrocarbons (oil and gas)",,The Energy Charter Treaty (1994),UNCITRAL,
1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227",,RUS,Energy Charter Treaty (ECT),UNCITRAL,
6667,"Olin Holdings Ltd v.Â  Libya, ICCÂ Case No. 20355/MCP",Manufacturing,,Cyprus - Libya BIT (2004),ICC,In favour of Investor
6741,"Mohammad Reza Dayyani, et al. v. The Republic of Korea, PCA Case No. 2015-38",Manufacturing,,Iran - Korea BIT (1998),UNCITRAL,In favour of Investor
6671,Jean-Marc Parienti v. Autoridad de Transito y Transporte Terrestre,Construction,,France - Panama BIT (1982),UNCITRAL,In favour of Investor
6640,"Omega Engineering LLC and Oscar Rivera v. Republic of Panama, ICSID Case No. ARB/16/42",Construction,,United States of America - Panama BIT (1982),ICSID,
6745,"Manuel GarcÃ_a Armas et al. V.Â Bolivarian Republic of Venezuela,Â PCA Case No. 2016-08",,,Spain-Venezuela BIT,UNCITRAL,
1173,"Yaung Chi Oo Trading Pte. Ltd. v. Government of the Union of Myanmar, ASEAN I.D. Case No. ARB/01/1",,MMR,ASEAN Agreement for the Promotion and Protection of Investments,ICSID,
2354,"World Wide Minerals v. Republic of Kazakhstan, UNCITRAL (Case 2)",,KAZ,Canada-USSR BIT,UNCITRAL,
1169,"White Industries Australia Limited v. The Republic of India, UNCITRAL",,IND,Australia-India BIT,UNCITRAL,
1171,"Wintershall Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/04/14",,ARG,Argentina-Germany BIT,ICSID,
1167,"Western NIS Enterprise Fund v. Ukraine, ICSID Case No. ARB/04/2",,UKR,Ukraine-United States BIT,ICSID,
2544,"Vodafone International Holdings BV v. Government of India [I], PCA Case No. 2016-35 (Dutch BIT Claim)",Information and communication,IND,India-Netherlands BIT,UNCITRAL,
1155,"Waste Management, Inc. v. United Mexican States, ICSID Case No. ARB(AF)/98/2",,MEX,NAFTA,ICSID Additional Facility,
1162,"Wena Hotels Ltd. v. Arab Republic of Egypt, ICSID Case No. ARB/98/4",,EGY,Egypt-United Kingdom BIT,ICSID,
1585,"Windstream Energy LLC v. Government of Canada, PCA Case No. 2013-22",,CAN,NAFTA,UNCITRAL,
1158,"Waste Management, Inc. v. United Mexican States (""Number 2""), ICSID Case No. ARB(AF)/00/3",,MEX,NAFTA,ICSID Additional Facility,
2515,"Voltaic Network GmbH v. Czech Republic,Â UNCITRAL",,Czech Republic,Czech Republic-Germany BIT,UNCITRAL,
1445,Peter Franz Vocklinghaus v. Czech Republic,,Czech Republic,Czech Republic-Germany BIT,,
1472,"Bernhard von Pezold and Others v. Republic of Zimbabwe, ICSID Case No. ARB/10/15",,ZWE,Germany-Zimbabwe BIT,ICSID,
1153,"Vivendi v. Republic of Poland, UNCITRAL",,POL,France-Poland BIT,UNCITRAL,
2768,"Vigotop Limited v. Hungary, ICSID Case No. ARB/11/22",,HUN,Cyprus-Hungary BIT,ICSID,
1797,Victims of the Stanford Ponzi Scheme v. The Government of the United States of America,,USA,CAFTA,,
