doc_id,title,dispute_id,title
1,Final Award,6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
2,"Procedural Order No. 17 on the Request for Rectification, Clarification and Complement of the Final Award",6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
2,"Procedural Order No. 17 on the Request for Rectification, Clarification and Complement of the Final Award",6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
3,Decision of the Svea Court of Appeals Suspending the Enforcement of the Award until Further Notice,6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
3,Decision of the Svea Court of Appeals Suspending the Enforcement of the Award until Further Notice,6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
5,Spain's Memorandum of Law in Support of Motion to Dismiss and to Deny Petition to Confirm Foreign Arbitral Award,6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
4,Petition to Confirm Foreign Arbitral Award,6613,"Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain, SCC Case No. 2015/063"
7,Award,6608,"Masdar Solar & Wind Cooperatief U.A. v. Kingdom of Spain, ICSID Case No. ARB/14/1"
8,Decision on the Respondent's Application to Stay Enforcement of the Award,6608,"Masdar Solar & Wind Cooperatief U.A. v. Kingdom of Spain, ICSID Case No. ARB/14/1"
8,Decision on the Respondent's Application to Stay Enforcement of the Award,6608,"Masdar Solar & Wind Cooperatief U.A. v. Kingdom of Spain, ICSID Case No. ARB/14/1"
9,Petition to Enforce Arbitral Award,6608,"Masdar Solar & Wind Cooperatief U.A. v. Kingdom of Spain, ICSID Case No. ARB/14/1"
10,Final Award,7098,"Tomasz CzÄ™Å›cik and Robert AleksandrowiczÂ v. Cyprus,Â SCC Case No. V 2014/169"
12,Decision on the Proposal to Disqualify Mr. Gary B. Born,6486,"Mathias Kruck and others v. Kingdom of Spain, ICSID Case No. ARB/15/23"
14,Decision on Jurisdiction and Admissibility,6474,"Salini Impregilo S.p.A. v. Argentine Republic, ICSID Case No. ARB/15/39"
15,Decision of the Swiss Federal Supreme Court on the Set-Aside of the Award (French),6593,"Horthel Systems BV, Poland Gaming Holding BV and Tesa Beheer BV v. Poland, PCA Case No. 2014-31"
15,Decision of the Swiss Federal Supreme Court on the Set-Aside of the Award (French),6593,"Horthel Systems BV, Poland Gaming Holding BV and Tesa Beheer BV v. Poland, PCA Case No. 2014-31"
17,Reasons for the Decision of the Ontario Superior Court of Justice,6625,"Luxtona Limited v. The Russian Federation, UNCITRAL"
16,Decision on the Proposal to Disqualify Stanimir Alexandrov,6634,"Raiffeisen Bank International AG and Raiffeisenbank Austria d.d. v. Republic of Croatia, ICSID Case No. ARB/17/34"
751,Decision of Nacka TingsrÃ_tt (Case No. Ã„ 5277-10),982,"Mr. FranzÂ Sedelmayer v. The Russian Federation, SCC"
44,Decision of the European Court of Human Rights as to the Admissibility of the Application,1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
45,Interim Award on Jurisdiction and Admissibility,1175,"Yukos Universal Limited (Isle of Man) v. The Russian Federation, UNCITRAL, PCA Case No. AA 227"
