"","WTO 1994","AGR","ADP 1994","AIR","VAL 1994","DSU","GATT","GATT 1994","GPA","LIC 1994","TRIPS","PSI","ARO","SG","SPS","GATS","SCM 1994","TBT 1994","ATC","TRIMS","WTO 1994"
"DS1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"DS2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"DS3",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DS4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"DS5",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DS6",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"DS8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS9",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS10",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS11",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS12",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"DS13",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS14",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"DS15",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS16",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"DS17",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS18",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"DS19",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS20",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DS21",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"DS22",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS23",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DS25",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS26",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DS27",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
"DS28",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DS29",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"DS30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS31",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DS33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DS34",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"DS35",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS36",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DS37",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DS38",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"DS39",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS40",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS41",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DS42",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DS43",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS44",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"DS46",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"DS47",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"DS48",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"DS49",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS50",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DS51",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"DS52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"DS53",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"DS54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"DS55",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"DS56",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
