dispute,country,role
1,SGP,0
1,MYS,2
2,NOR,1
2,AUS,1
2,CAN,1
2,EEC,1
2,VEN,0
2,USA,2
3,USA,0
3,KOR,2
4,BRA,0
4,USA,2
5,USA,0
5,KOR,2
6,JPN,0
6,USA,2
7,USA,1
7,JPN,1
7,CHL,1
7,PER,1
7,AUS,1
7,ISL,1
7,CAN,0
7,EEC,2
8,EEC,0
8,JPN,2
9,CAN,0
9,EEC,2
10,CAN,0
10,JPN,2
11,USA,0
11,JPN,2
12,AUS,1
12,JPN,1
12,CAN,1
12,USA,1
12,ISL,1
12,PER,0
12,EEC,2
13,USA,0
13,EEC,2
14,AUS,1
14,JPN,1
14,CAN,1
14,USA,1
14,ISL,1
14,CHL,0
14,EEC,2
15,EEC,0
15,JPN,2
16,MEX,0
16,GTM,0
16,USA,0
16,HND,0
16,EEC,2
17,THA,0
17,EEC,2
18,IND,1
18,USA,1
18,NOR,1
18,EEC,1
18,CAN,0
18,AUS,2
19,IND,0
19,POL,2
20,CAN,0
20,KOR,2
21,EEC,1
21,CAN,1
21,ISL,1
21,IND,1
21,HKG,1
21,NOR,1
21,USA,0
21,AUS,2
22,IDN,1
22,USA,1
22,CAN,1
22,EEC,1
22,LKA,1
22,PHL,0
22,BRA,2
23,MEX,0
23,VEN,2
24,IND,1
24,CRI,0
24,USA,2
25,URY,0
25,EEC,2
26,AUS,1
26,CAN,1
26,NOR,1
26,NZL,1
26,USA,0
26,EEC,2
27,DMA,1
27,MUS,1
27,DOM,1
27,GHA,1
27,CIV,1
27,CRI,1
27,CMR,1
27,PAN,1
27,MDG,1
27,COL,1
27,SUR,1
27,SEN,1
27,BLZ,1
27,GRD,1
27,JAM,1
27,VCT,1
27,VEN,1
27,PHL,1
27,NIC,1
27,JPN,1
27,LCA,1
27,IND,1
27,BRA,1
27,CAN,1
27,MEX,0
27,ECU,0
27,GTM,0
27,USA,0
27,HND,0
27,EEC,2
28,USA,0
28,JPN,2
29,HKG,0
29,TUR,2
30,LKA,0
30,BRA,2
31,USA,0
31,CAN,2
32,CRI,1
32,EEC,1
32,TUR,1
32,CAN,1
32,PAK,1
32,NOR,1
32,IND,0
32,USA,2
33,NOR,1
33,TUR,1
33,PAK,1
33,CAN,1
33,EEC,1
33,IND,0
33,USA,2
34,USA,1
34,PHL,1
34,HKG,1
34,THA,1
34,JPN,1
34,IND,0
34,TUR,2
35,URY,1
35,CAN,1
35,THA,1
35,JPN,1
35,USA,0
35,AUS,0
35,CAN,0
35,ARG,0
35,THA,0
35,NZL,0
35,HUN,2
36,USA,0
36,PAK,2
37,USA,0
37,PRT,2
38,MEX,1
38,MYS,1
38,CAN,1
38,THA,1
38,JPN,1
38,EEC,0
38,USA,2
39,EEC,0
39,USA,2
40,EEC,0
40,KOR,2
41,USA,0
41,KOR,2
42,EEC,0
42,JPN,2
43,CAN,1
43,USA,0
43,TUR,2
44,MEX,1
44,EEC,1
44,USA,0
44,JPN,2
45,USA,0
45,JPN,2
46,AUS,1
46,KOR,1
46,USA,1
46,EEC,1
46,CAN,0
46,BRA,2
47,THA,0
47,TUR,2
48,AUS,1
48,USA,1
48,NOR,1
48,NZL,1
48,CAN,0
48,EEC,2
49,MEX,0
49,USA,2
50,EEC,1
50,USA,0
50,IND,2
51,JPN,0
51,BRA,2
52,USA,0
52,BRA,2
53,EEC,0
53,MEX,2
54,IND,1
54,KOR,1
54,USA,1
54,EEC,0
54,IDN,2
55,IND,1
55,KOR,1
55,USA,1
55,JPN,0
55,IDN,2
56,IND,1
56,HUN,1
56,EEC,1
56,USA,0
56,ARG,2
57,USA,0
57,AUS,2
58,HKG,1
58,PAK,1
58,NGA,1
58,JPN,1
58,MEX,1
58,SLV,1
58,PHL,1
58,THA,1
58,AUS,1
58,GTM,1
58,ECU,1
58,CAN,1
58,SGP,1
58,VEN,1
58,SEN,1
58,CRI,1
58,LKA,1
58,COL,1
58,EEC,1
58,IND,0
58,MYS,0
58,PAK,0
58,THA,0
58,USA,2
59,IND,1
59,KOR,1
59,USA,0
59,IDN,2
60,SLV,1
60,CAN,1
60,USA,1
60,HND,1
60,MEX,0
60,GTM,2
61,PHL,0
61,USA,2
62,IND,1
62,SGP,1
62,KOR,1
62,JPN,1
62,USA,0
62,EEC,2
63,EEC,0
63,USA,2
64,IND,1
64,KOR,1
64,USA,1
64,JPN,0
64,IDN,2
65,USA,0
65,BRA,2
66,EEC,0
66,JPN,2
67,IND,1
67,SGP,1
67,KOR,1
67,JPN,1
67,USA,0
67,GBR,2
68,IND,1
68,SGP,1
68,KOR,1
68,JPN,1
68,USA,0
68,IRL,2
69,USA,1
69,THA,1
69,BRA,0
69,EEC,2
70,AUS,1
70,USA,1
70,EEC,1
70,BRA,0
70,CAN,2
71,BRA,0
71,CAN,2
72,USA,1
72,NZL,0
72,EEC,2
73,EEC,0
73,JPN,2
74,USA,0
74,PHL,2
75,CAN,1
75,MEX,1
75,EEC,0
75,KOR,2
76,HUN,1
76,EEC,1
76,BRA,1
76,USA,0
76,JPN,2
77,USA,1
77,EEC,0
77,ARG,2
78,COL,0
78,USA,2
79,USA,1
79,EEC,0
79,IND,2
80,USA,0
80,BEL,2
81,EEC,0
81,BRA,2
82,USA,0
82,IRL,2
83,USA,0
83,DNK,2
84,CAN,1
84,MEX,1
84,USA,0
84,KOR,2
85,EEC,0
85,USA,2
86,USA,0
86,SWE,2
87,USA,1
87,CAN,1
87,PER,1
87,MEX,1
87,EEC,0
87,CHL,2
88,JPN,1
88,EEC,0
88,USA,2
89,KOR,0
89,USA,2
90,USA,0
90,IND,2
91,AUS,0
91,IND,2
92,CAN,0
92,IND,2
93,NZL,0
93,IND,2
94,CHE,0
94,IND,2
95,JPN,1
95,JPN,0
95,USA,2
96,EEC,0
96,IND,2
97,CHL,0
97,USA,2
98,USA,1
98,EEC,0
98,KOR,2
99,EEC,1
99,KOR,0
99,USA,2
100,EEC,0
100,USA,2
101,USA,0
101,MEX,2
102,USA,0
102,PHL,2
103,AUS,1
103,JPN,1
103,MEX,1
103,EEC,1
103,ARG,1
103,USA,0
103,CAN,2
104,USA,0
104,EEC,2
105,PAN,0
105,EEC,2
106,USA,0
106,AUS,2
107,EEC,0
107,PAK,2
108,JPN,1
108,CHN,1
108,AUS,1
108,JAM,1
108,CAN,1
108,IND,1
108,BRB,1
108,BRA,1
108,EEC,0
108,USA,2
109,USA,0
109,CHL,2
110,USA,1
110,CAN,1
110,PER,1
110,MEX,1
110,EEC,0
110,CHL,2
111,ARG,0
111,USA,2
112,BRA,0
112,PER,2
113,USA,1
113,JPN,1
113,AUS,1
113,ARG,1
113,MEX,1
113,EEC,1
113,NZL,0
113,CAN,2
114,CHE,1
114,USA,1
114,JPN,1
114,ISR,1
114,THA,1
114,POL,1
114,AUS,1
114,CUB,1
114,IND,1
114,COL,1
114,BRA,1
114,EEC,0
114,CAN,2
115,USA,0
115,EEC,2
116,EEC,0
116,BRA,2
117,EEC,0
117,CAN,2
118,EEC,0
118,USA,2
119,CHE,0
119,AUS,2
120,EEC,0
120,IND,2
121,IDN,1
121,USA,1
121,PRY,1
121,URY,1
121,BRA,1
121,EEC,0
121,ARG,2
122,USA,1
122,EEC,1
122,JPN,1
122,POL,0
122,THA,2
123,IDN,0
123,ARG,2
124,USA,0
124,EEC,2
125,USA,0
125,GRC,2
126,MEX,1
126,EEC,1
126,USA,0
126,AUS,2
127,USA,0
127,BEL,2
128,USA,0
128,NLD,2
129,USA,0
129,GRC,2
130,USA,0
130,IRL,2
131,USA,0
131,FRA,2
132,JAM,1
132,EEC,1
132,MUS,1
132,USA,0
132,MEX,2
133,CHE,0
133,SVK,2
134,IND,0
134,EEC,2
135,USA,1
135,ZWE,1
135,BRA,1
135,CAN,0
135,EEC,2
136,IND,1
136,MEX,1
136,JPN,1
136,EEC,0
136,USA,2
137,CAN,0
137,EEC,2
138,MEX,1
138,BRA,1
138,EEC,0
138,USA,2
139,IND,1
139,KOR,1
139,USA,1
139,JPN,0
139,CAN,2
140,IND,0
140,EEC,2
141,EGY,1
141,KOR,1
141,USA,1
141,JPN,1
141,IND,0
141,EEC,2
142,IND,1
142,KOR,1
142,USA,1
142,EEC,0
142,CAN,2
143,HUN,0
143,SVK,2
144,CAN,0
144,USA,2
145,EEC,0
145,ARG,2
146,KOR,1
146,JPN,1
146,EEC,0
146,IND,2
147,EEC,0
147,JPN,2
148,HUN,0
148,CZE,2
149,EEC,0
149,IND,2
150,EEC,0
150,IND,2
151,EEC,0
151,USA,2
152,DMA,1
152,KOR,1
152,DOM,1
152,ISR,1
152,JPN,1
152,THA,1
152,HKG,1
152,ECU,1
152,JAM,1
152,CUB,1
152,LCA,1
152,IND,1
152,CRI,1
152,COL,1
152,BRA,1
152,CAN,1
152,EEC,0
152,USA,2
153,CAN,0
153,EEC,2
154,BRA,0
154,EEC,2
155,USA,1
155,EEC,0
155,ARG,2
156,ECU,1
156,USA,1
156,SLV,1
156,EEC,1
156,HND,1
156,MEX,0
156,GTM,2
157,EEC,0
157,ARG,2
158,MEX,0
158,USA,0
158,GTM,0
158,PAN,0
158,HND,0
158,EEC,2
159,CZE,0
159,HUN,2
160,CHE,1
160,AUS,1
160,CAN,1
160,BRA,1
160,JPN,1
160,EEC,0
160,USA,2
161,AUS,1
161,CAN,1
161,NZL,1
161,USA,0
161,KOR,2
162,IND,1
162,EEC,1
162,JPN,0
162,USA,2
163,EEC,1
163,JPN,1
163,USA,0
163,KOR,2
164,IDN,1
164,USA,0
164,ARG,2
165,DMA,1
165,JPN,1
165,ECU,1
165,JAM,1
165,LCA,1
165,IND,1
165,EEC,0
165,USA,2
166,AUS,1
166,CAN,1
166,NZL,1
166,EEC,0
166,USA,2
167,CAN,0
167,USA,2
168,IND,0
168,ZAF,2
169,CAN,1
169,USA,1
169,NZL,1
169,AUS,0
169,KOR,2
170,USA,0
170,CAN,2
171,USA,0
171,ARG,2
172,USA,0
172,EEC,2
173,USA,0
173,FRA,2
174,TUR,1
174,GTM,1
174,CHN,1
174,MEX,1
174,AUS,1
174,CHT,1
174,CAN,1
174,ARG,1
174,IND,1
174,COL,1
174,BRA,1
174,NZL,1
174,USA,0
174,EEC,2
175,KOR,1
175,EEC,1
175,JPN,1
175,USA,0
175,IND,2
176,NIC,1
176,CAN,1
176,JPN,1
176,EEC,0
176,USA,2
177,AUS,1
177,JPN,1
177,CAN,1
177,EEC,1
177,ISL,1
177,NZL,0
177,USA,2
178,NZL,1
178,JPN,1
178,CAN,1
178,EEC,1
178,ISL,1
178,AUS,0
178,USA,2
179,EEC,1
179,JPN,1
179,KOR,0
179,USA,2
180,CAN,0
180,USA,2
181,THA,0
181,COL,2
182,MEX,0
182,ECU,2
183,EEC,0
183,BRA,2
184,EEC,1
184,CHL,1
184,CAN,1
184,BRA,1
184,KOR,1
184,JPN,0
184,USA,2
185,CRI,0
185,TTO,2
186,EEC,0
186,USA,2
187,CRI,0
187,TTO,2
188,USA,1
188,CRI,1
188,CAN,1
188,EEC,1
188,HND,1
188,COL,0
188,NIC,2
189,TUR,1
189,USA,1
189,JPN,1
189,EEC,0
189,ARG,2
190,PAK,1
190,PRY,1
190,USA,1
190,BRA,0
190,ARG,2
191,MEX,0
191,ECU,2
192,IND,1
192,EEC,1
192,PAK,0
192,USA,2
193,EEC,0
193,CHL,2
194,IND,1
194,AUS,1
194,EEC,1
194,CAN,0
194,USA,2
195,IND,1
195,JPN,1
195,USA,0
195,PHL,2
196,USA,0
196,ARG,2
197,USA,0
197,BRA,2
198,USA,0
198,ROM,2
199,IND,1
199,JPN,1
199,HND,1
199,DOM,1
199,USA,0
199,BRA,2
200,EEC,0
200,USA,2
201,HND,0
201,NIC,2
202,MEX,1
202,AUS,1
202,CAN,1
202,EEC,1
202,JPN,1
202,KOR,0
202,USA,2
203,USA,0
203,MEX,2
204,HND,1
204,BRA,1
204,JPN,1
204,NIC,1
204,GTM,1
204,AUS,1
204,CAN,1
204,IND,1
204,EEC,1
204,CUB,1
204,USA,0
204,MEX,2
205,THA,0
205,EGY,2
206,CHL,1
206,EEC,1
206,JPN,1
206,IND,0
206,USA,2
207,PER,1
207,HND,1
207,EEC,1
207,JPN,1
207,NIC,1
207,SLV,1
207,THA,1
207,ECU,1
207,CHN,1
207,GTM,1
207,AUS,1
207,CAN,1
207,USA,1
207,VEN,1
207,CRI,1
207,PRY,1
207,COL,1
207,BRA,1
207,ARG,0
207,CHL,2
208,BRA,0
208,TUR,2
209,BRA,0
209,EEC,2
210,IND,1
210,JPN,1
210,USA,0
210,BEL,2
211,CHL,1
211,USA,1
211,EEC,1
211,JPN,1
211,TUR,0
211,EGY,2
212,IND,1
212,KOR,1
212,CHN,1
212,BRA,1
212,MEX,1
212,EEC,0
212,USA,2
213,NOR,1
213,JPN,1
213,EEC,0
213,USA,2
214,MEX,1
214,JPN,1
214,KOR,1
214,CAN,1
214,ARG,1
214,EEC,0
214,USA,2
215,KOR,0
215,PHL,2
216,BRA,0
216,MEX,2
217,ISR,1
217,MEX,1
217,CAN,1
217,ARG,1
217,CRI,1
217,HKG,1
